시도명,시군구명,계
강원특별자치도,강릉시,73
강원특별자치도,고성군,9
강원특별자치도,동해시,20
강원특별자치도,삼척시,17
강원특별자치도,속초시,40
강원특별자치도,양구군,9
강원특별자치도,양양군,10
강원특별자치도,영월군,2
강원특별자치도,원주시,166
강원특별자치도,인제군,9
강원특별자치도,정선군,6
강원특별자치도,철원군,12
강원특별자치도,춘천시,118
강원특별자치도,태백시,10
강원특별자치도,평창군,6
강원특별자치도,홍천군,22
강원특별자치도,화천군,16
강원특별자치도,횡성군,4
경기도,가평군,16
경기도,고양시 덕양구,242
경기도,고양시 일산동구,105
경기도,고양시 일산서구,89
경기도,과천시,47
경기도,광명시,145
경기도,광주시,172
경기도,구리시,67
경기도,군포시,97
경기도,김포시,198
경기도,남양주시,286
경기도,동두천시,22
경기도,부천시 소사구,86
경기도,부천시 오정구,37
경기도,부천시 원미구,138
경기도,성남시 분당구,214
경기도,성남시 수정구,123
경기도,성남시 중원구,72
경기도,수원시 권선구,170
경기도,수원시 영통구,208
경기도,수원시 장안구,110
경기도,수원시 팔달구,97
경기도,시흥시,235
경기도,안산시 단원구,126
경기도,안산시 상록구,106
경기도,안성시,85
경기도,안양시 동안구,193
경기도,안양시 만안구,109
경기도,양주시,158
경기도,양평군,38
경기도,여주시,37
경기도,연천군,17
경기도,오산시,115
경기도,용인시 기흥구,171
경기도,용인시 수지구,172
경기도,용인시 처인구,122
경기도,의왕시,84
경기도,의정부시,164
경기도,이천시,87
경기도,파주시,231
경기도,평택시,390
경기도,포천시,53
경기도,하남시,186
경기도,화성시,670
경상남도,거제시,69
경상남도,거창군,13
경상남도,고성군,8
경상남도,김해시,255
경상남도,남해군,9
경상남도,밀양시,16
경상남도,사천시,36
경상남도,산청군,4
경상남도,양산시,146
경상남도,의령군,4
경상남도,진주시,156
경상남도,창녕군,10
경상남도,창원시 마산합포구,53
경상남도,창원시 마산회원구,49
경상남도,창원시 성산구,100
경상남도,창원시 의창구,67
경상남도,창원시 진해구,73
경상남도,통영시,30
경상남도,하동군,7
경상남도,함안군,11
경상남도,함양군,7
경상남도,합천군,1
경상북도,경산시,110
경상북도,경주시,88
경상북도,고령군,8
경상북도,구미시,196
경상북도,김천시,59
경상북도,문경시,12
경상북도,봉화군,1
경상북도,상주시,20
경상북도,성주군,12
경상북도,안동시,47
경상북도,영덕군,5
경상북도,영양군,1
경상북도,영주시,28
경상북도,영천시,30
경상북도,예천군,23
경상북도,울릉군,0
경상북도,울진군,11
경상북도,의성군,15
경상북도,청도군,7
경상북도,청송군,2
경상북도,칠곡군,17
경상북도,포항시 남구,85
경상북도,포항시 북구,117
광주광역시,광산구,151
광주광역시,남구,78
광주광역시,동구,46
광주광역시,북구,176
광주광역시,서구,95
대구광역시,군위군,5
대구광역시,남구,38
대구광역시,달서구,174
대구광역시,달성군,128
대구광역시,동구,147
대구광역시,북구,129
대구광역시,서구,56
대구광역시,수성구,135
대구광역시,중구,69
대전광역시,대덕구,88
대전광역시,동구,76
대전광역시,서구,181
대전광역시,유성구,204
대전광역시,중구,79
부산광역시,강서구,98
부산광역시,금정구,44
부산광역시,기장군,59
부산광역시,남구,72
부산광역시,동구,26
부산광역시,동래구,104
부산광역시,부산진구,171
부산광역시,북구,96
부산광역시,사상구,53
부산광역시,사하구,83
부산광역시,서구,20
부산광역시,수영구,48
부산광역시,연제구,91
부산광역시,영도구,23
부산광역시,중구,6
부산광역시,해운대구,120
서울특별시,강남구,252
서울특별시,강동구,230
서울특별시,강북구,78
서울특별시,강서구,225
서울특별시,관악구,133
서울특별시,광진구,114
서울특별시,구로구,172
서울특별시,금천구,77
서울특별시,노원구,196
서울특별시,도봉구,80
서울특별시,동대문구,151
서울특별시,동작구,160
서울특별시,마포구,193
서울특별시,서대문구,105
서울특별시,서초구,155
서울특별시,성동구,157
서울특별시,성북구,174
서울특별시,송파구,286
서울특별시,양천구,133
서울특별시,영등포구,183
서울특별시,용산구,110
서울특별시,은평구,161
서울특별시,종로구,42
서울특별시,중구,47
서울특별시,중랑구,144
세종특별자치시, ,133
울산광역시,남구,136
울산광역시,동구,63
